Date,Close
2000-01-04,36.5
2000-01-05,37.3
2000-01-06,36.5
2000-01-07,35.5
2000-01-10,36.7
2000-01-11,36.1
2000-01-12,37.1
2000-01-13,36.5
2000-01-14,37.3
2000-01-17,38.4
2000-01-18,37.7
2000-01-19,37.7
2000-01-20,37.3
2000-01-21,38.1
2000-01-24,38.6
2000-01-25,39.6
2000-01-26,42.2
2000-01-27,42.7
2000-01-28,41.8
2000-01-31,41.6
2000-02-01,41.4
2000-02-02,41.4
2000-02-09,43.3
2000-02-10,43.9
2000-02-11,44.9
2000-02-14,43.9
2000-02-15,44.1
2000-02-16,43.7
2000-02-17,43.3
2000-02-18,42.7
2000-02-21,40.0
2000-02-22,40.0
2000-02-23,39.8
2000-02-24,40.0
2000-02-25,40.8
2000-02-28,40.8
2000-02-29,41.2
2000-03-01,42.2
2000-03-02,41.6
2000-03-03,41.6
2000-03-06,41.0
2000-03-07,40.8
2000-03-08,40.6
2000-03-09,41.0
2000-03-10,40.0
2000-03-13,37.3
2000-03-14,38.1
2000-03-15,37.5
2000-03-16,37.7
2000-03-17,39.0
2000-03-20,37.7
2000-03-21,40.0
2000-03-22,39.4
2000-03-23,41.2
2000-03-24,40.6
2000-03-27,43.3
2000-03-28,42.9
2000-03-29,41.8
2000-03-30,42.7
2000-03-31,42.0
2000-04-03,42.0
2000-04-05,42.7
2000-04-06,41.4
2000-04-07,41.0
2000-04-10,43.1
2000-04-11,42.0
2000-04-12,41.0
2000-04-13,39.4
2000-04-14,38.1
2000-04-17,36.7
2000-04-18,38.8
2000-04-19,37.5
2000-04-20,38.1
2000-04-21,38.1
2000-04-24,36.9
2000-04-25,38.4
2000-04-26,37.9
2000-04-27,38.6
2000-04-28,40.4
2000-05-01,40.4
2000-05-02,39.6
2000-05-03,38.6
2000-05-04,38.4
2000-05-05,39.4
2000-05-08,39.6
2000-05-09,39.6
2000-05-10,38.6
2000-05-11,36.7
2000-05-12,37.9
2000-05-15,37.0
2000-05-16,39.2
2000-05-17,41.7
2000-05-18,42.8
2000-05-19,42.5
2000-05-22,41.5
2000-05-23,40.2
2000-05-24,39.0
2000-05-25,38.2
2000-05-26,38.2
2000-05-29,38.2
2000-05-30,38.2
2000-05-31,41.2
2000-06-01,40.2
2000-06-02,40.7
2000-06-05,41.5
2000-06-06,41.5
2000-06-07,42.3
2000-06-08,41.2
2000-06-09,41.5
2000-06-12,41.2
2000-06-13,40.7
2000-06-14,40.4
2000-06-15,39.4
2000-06-16,39.4
2000-06-19,38.9
2000-06-20,39.0
2000-06-21,38.6
2000-06-22,39.1
2000-06-23,38.3
2000-06-26,37.1
2000-06-27,37.1
2000-06-28,37.8
2000-06-29,37.4
2000-06-30,38.3
2000-07-03,37.7
2000-07-04,37.0
2000-07-05,39.1
2000-07-06,38.1
2000-07-07,37.3
2000-07-10,37.7
2000-07-11,37.8
2000-07-12,37.7
2000-07-13,38.1
2000-07-14,38.3
2000-07-17,37.7
2000-07-18,37.3
2000-07-20,35.4
2000-07-21,34.1
2000-07-24,33.2
2000-07-25,32.9
2000-07-26,34.1
2000-07-27,33.9
2000-07-28,33.5
2000-07-31,33.3
2000-08-01,33.1
2000-08-02,32.8
2000-08-03,32.0
2000-08-04,32.9
2000-08-07,32.3
2000-08-08,32.9
2000-08-09,34.1
2000-08-10,34.9
2000-08-11,34.4
2000-08-14,34.1
2000-08-15,34.3
2000-08-16,35.4
2000-08-17,36.2
2000-08-18,36.6
2000-08-21,36.2
2000-08-22,36.0
2000-08-23,36.0
2000-08-24,36.6
2000-08-25,36.9
2000-08-28,36.2
2000-08-29,36.0
2000-08-30,35.4
2000-08-31,35.3
2000-09-01,34.1
2000-09-04,35.0
2000-09-05,35.2
2000-09-06,34.4
2000-09-07,32.9
2000-09-08,32.7
2000-09-11,32.6
2000-09-12,32.6
2000-09-13,32.6
2000-09-14,31.5
2000-09-15,32.2
2000-09-18,31.8
2000-09-19,29.7
2000-09-20,30.2
2000-09-21,30.1
2000-09-22,28.0
2000-09-25,28.0
2000-09-26,29.8
2000-09-27,29.1
2000-09-28,28.0
2000-09-29,27.3
2000-10-02,25.9
2000-10-03,27.0
2000-10-04,26.1
2000-10-05,27.0
2000-10-06,28.9
2000-10-09,28.2
2000-10-10,28.2
2000-10-11,27.3
2000-10-12,25.5
2000-10-13,25.3
2000-10-16,25.3
2000-10-17,24.7
2000-10-18,23.0
2000-10-19,21.4
2000-10-20,22.8
2000-10-23,26.1
2000-10-24,27.8
2000-10-25,28.2
2000-10-26,27.7
2000-10-27,27.7
2000-10-30,25.9
